"name","unp","instrument_uuid","ticker","share_kind"
"365 градусов ЗАО","191442203","5b71803c","T3680-S0001","common"
"Агро Свисс ЗАО","590777830","65fe1448","T5386-S0001","common"
"Адванст Релэй Мишн Аппликэйшнс ЗАО","192976224","e903a7a8","T6108-S0001","common"
"Альтернатива ПКФ ЗАО","300079571","f1661af4","T5267-S0001","common"
"Анубис-Энерги ЗАО","590831593","c3ae3218","T4320-S0001","common"
"А/О ""Гомель-Лада""","400029076","378a358b","T1295-S0001","common"
"АРЕАЛ БЕЛ СЗАО","190542148","ef3a9631","T5592-S0001","common"
"БайкСет ЗАО","790258178","38053546","T2626-S0001","common"
"БАМ-БелСтройСервис СЗАО","690614155","0d800f45","T5680-S0001","common"
"Банк ВТБ (публичное акционерное общество)","7702070139","6e9efe6e","T9251-S0004E","common"
"БелИнфра-Рей ЗАО","190346219","0bf7458e","T5581-S0001","common"
"БЕЛКАСТМЕТ ЗАО","190385115","41d4dbfe","T5697-S0001","common"
"БЕЛ-НЕГАС ЗАО","101406747","7e45da6e","T5807-S0001","common"
"белорусско-молдавское СОАО ""Кодру""","400051928","3a8a8bed","T1322-S0007","common"
"Белриэлтнедвижимость ЗАО","191438345","76ad6f13","T3422-S0001","common"
"БелСоюзТранс ЗАО","690643802","79b6a86a","T3925-S0001","common"
"БелЭкспоТур ЗАО","100707094","bf3908b0","T4132-S0001","common"
"Березина-Лада ОАО","700067664","6247ed1b","T1892-S0001","common"
"БМ БЭСТ КОМПАНИ ЗАО","191403243","b2cd2f2d","T3028-S0001","common"
"БОАО ""Промторг""","700089724","0e223f65","T1911-S0001","common"
"Бобруйский строитель ОАО","790849359","8007c623","T4724-S0001","common"
"Брестоблгарант ОАО","200274495","9fd53e00","T1056-S0001","common"
"БЫТРАДИОТЕХНИКА ЗАО","101147716","3e8a6d9b","T2771-S0001","common"
"В-КОМАС ЗАО","191699739","b222e4af","T4135-S0001","common"
"ВНЕШСБЫТТОРГ ЗАО","100649193","f3823a60","T3954-S0001","common"
"Волковысское ЗАО ""Сельдорстрой""","500029733","a97f08d0","T5350-S0002","common"
"Волковысское ОАО ""Беллакт""","500043093","99084b97","T2335-S0002","common"
"Волковысское ОАО ""Контакт""","500042852","42b0a159","T1526-S0003","common"
"Волковысское ОАО ""СМТ № 32""","500042559","4d559d30","T2334-S0001","common"
"Гермес - полимер ЗАО","192036654","bb961af7","T4671-S0001","common"
"ГЗАО ПСК ""Дианит""","400538237","ce371d6c","T4622-S0001","common"
"ГласНефтеХим трейд ЗАО","190732652","a9048e93","T3281-S0001","common"
"Глусское ОАО ""Ориентир""","700031579","1c9a35a1","T4538-S0001","common"
"Гомельоблстрой ОАО","400051693","96064e75","T3178-S0001","common"
"Гомельский жировой комбинат ОАО","400078303","09e3ec5b","T1368-S0001","common"
"Государственное предприятие ""Белэнергострой""-управляющая компания холдинга""","100056165","6873e307","T0232-S0001","common"
"Государственное предприятие ""РНТЦ по ценообразованию в строительстве""","101024243","8d909f59","T0794-S0001","common"
"ГПФ ""Акцент"" ОАО","500047961","589e2f9d","T1535-S0005","common"
"ГПФ ""Акцент"" ОАО","500047961","848b1e4d","T1535-S0006P","preferred"
"Грузтранс ЗАО","101061318","49c93696","T5542-S0001","common"
"Гуртпромстрой ОАО","600154463","932fbba2","T1773-S0001","common"
"Даймлер Авто ЗАО","191507788","4c5f5195","T3866-S0001","common"
"Дельта Страхование ЗАСО","100336711","47973fd8","T2953-S0001","common"
"Дзержинск-Лада ЗАО","600005294","4b50195b","T5458-S0001","common"
"Диназ Нафта СЗАО","800011900","70de0934","T5579-S0001","common"
"ДОРМАШКОМПЛЕКТ ЗАО","101034896","d8de2f78","T5651-S0001","common"
"ДСПМК-94 ЗАО","600045674","676f7584","T6208-S0001","common"
"ЕКА-ПРОЦЕССИНГ ИЗАО","800016785","96997a96","T5682-S0001","common"
"Завод ЖБК г.Витебск ОАО","300602429","81c8acb2","T1239-S0001","common"
"Закрытое акционерное общество ""Гомельлифт""","400068184","f9177a23","T2743-S0004","common"
"Закрытое акционерное общество ""Гомельлифт""","400068184","798ce7d4","T2743-S0005P","preferred"
"ЗАО ""1000 МЕЛОЧЕЙ""","100029184","dd035783","T5917-S0001","common"
"ЗАО ""1 Мая""","600032170","cf624c5c","T4395-S0001","common"
"ЗАО ""А2+""","600124348","ecd1b4d4","T2909-S0001","common"
"ЗАО ""Аатек""","390401460","f266c4eb","T6419-S0001","common"
"ЗАО ""АВАНГАРД ЛИЗИНГ""","191257170","2b8f1c30","AVGRD-S0001","common"
"ЗАО ""Август-Бел""","690604286","e6482c69","T2522-S0001","common"
"ЗАО ""Авиакомпания ""БайСкай""","192807794","4776bf03","T6001-S0001","common"
"ЗАО ""Автодор Инжиниринг""","693141462","ce1f9391","T6450-S0001","common"
"ЗАО ""АВТОКОМБИНАТ N2""","100279781","04b290f6","T5503-S0001","common"
"ЗАО ""Авто Мастерс""","193224525","b8bec8e4","T6332-S0001","common"
"ЗАО ""АвтоПартнерСервис""","691579731","b3c099b9","T6298-S0001","common"
"ЗАО ""АВТОПРИВАЛ""","100989128","0f4d8499","T5558-S0001","common"
"ЗАО ""Автопривод""","690600265","a2bcf134","T5223-S0001","common"
"ЗАО ""АВТОРЕМСТРОЙМОНТАЖ""","100288986","ee41eeb2","T3833-S0001","common"
"ЗАО ""Автотрейд""","390185224","2e34bea4","T4140-S0001","common"
"ЗАО ""Агентство Новых Технологий""","190657517","b070b09a","T5444-S0001","common"
"ЗАО ""Агентство стратегического и экономического развития""","192419636","0c52e577","T6439-S0001","common"
"ЗАО ""Агринка""","691783685","8b163e82","T5848-S0001","common"
"ЗАО ""Агробиоресурс""","291049389","92fca426","T4447-S0001","common"
"ЗАО ""Агроидеи""","790957325","13674e55","T5191-S0001","common"
"ЗАО ""АГРОКАПИТАЛ""","101000004","b106aa38","T3881-S0006","common"
"ЗАО ""Агрокомбинат ""Заря""","700124410","1a27df82","T6066-S0001","common"
